Year,CW,Bangalore_Price,Delhi_Price,Hyderabad_Price,Kolkata_Price,Pune_Price,Karnataka,Delhi,Andrapradesh,Westbengal,Maharashtra
2015,1,1200,1462,1125,1967,1175,5.5,12.4,21.4,28.6,37.8
2015,2,1359,1383,1260,1596,1290,5.5,12.4,21.4,28.6,37.8
2015,3,1208,1256,906,1771,1167,5.5,12.4,21.4,28.6,37.8
2015,4,1352,1321,1130,1625,1150,5.5,12.4,21.4,28.6,37.8
2015,5,1323,1412,1400,1750,1120,5.5,12.4,21.4,28.6,37.8
2015,6,1398,1494,1633,2000,1250,1.2,6.6,0.6,20.5,7.1
2015,7,1437,1550,1165,2042,1125,1.2,6.6,0.6,20.5,7.1
2015,8,1393,1594,1263,1875,1193,1.2,6.6,0.6,20.5,7.1
2015,9,1423,1554,1238,1875,1110,1.2,6.6,0.6,20.5,7.1
2015,10,1344,1568,1210,1844,1090,84.2,71.8,61.9,84.1,139.5
2015,11,1434,1527,1117,1458,1113,84.2,71.8,61.9,84.1,139.5
2015,12,1298,1473,1038,1250,996,84.2,71.8,61.9,84.1,139.5
2015,13,1119,1186,650,1271,834,84.2,71.8,61.9,84.1,139.5
2015,14,1188,1198,1630,1250,917,84.2,71.8,61.9,84.1,139.5
2015,15,1198,1293,1030,1435,926,203.5,34.8,171.4,237.7,77.3
2015,16,1215,1369,1094,1675,843,203.5,34.8,171.4,237.7,77.3
2015,17,1200,1386,913,1610,970,203.5,34.8,171.4,237.7,77.3
2015,18,1145,1376,1013,1550,938,203.5,34.8,171.4,237.7,77.3
2015,19,1231,1372,1117,1708,1125,320.9,8.4,97.1,362.2,49.5
2015,20,1273,1311,1115,1829,1042,320.9,8.4,97.1,362.2,49.5
2015,21,1198,1234,1085,1796,1205,320.9,8.4,97.1,362.2,49.5
2015,22,1273,1292,1158,1829,1305,320.9,8.4,97.1,362.2,49.5
2015,23,1600,1460,1313,2042,1592,320.9,8.4,97.1,362.2,49.5
2015,24,1860,1623,1455,2354,1625,1043.6,43.7,623.7,755.4,549.9
2015,25,1646,1593,1310,2375,1608,1043.6,43.7,623.7,755.4,549.9
2015,26,1668,1560,1300,2425,1650,1043.6,43.7,623.7,755.4,549.9
2015,27,1583,1635,1225,2250,1900,1043.6,43.7,623.7,755.4,549.9
2015,28,1565,1607,1300,2375,2033,1081.4,130.3,263.5,1026.4,276.3
2015,29,1803,1691,1483,2406,2050,1081.4,130.3,263.5,1026.4,276.3
2015,30,2229,2041,1892,2625,2440,1081.4,130.3,263.5,1026.4,276.3
2015,31,2693,2420,2108,3625,3333,1081.4,130.3,263.5,1026.4,276.3
2015,32,2730,2698,2842,3875,3683,790.2,89.2,476.1,887.2,468.3
2015,33,2765,2845,3175,3675,3767,790.2,89.2,476.1,887.2,468.3
2015,34,3340,4030,4483,4435,4700,790.2,89.2,476.1,887.2,468.3
2015,35,3371,4232,4825,5533,5467,790.2,89.2,476.1,887.2,468.3
2015,36,2983,3792,4450,4845,5060,575.6,32.1,496.4,518.9,468.4
2015,37,3115,3879,4742,5167,5060,575.6,32.1,496.4,518.9,468.4
2015,38,3160,4231,4300,5500,4975,575.6,32.1,496.4,518.9,468.4
2015,39,2995,3589,3422,5000,4350,575.6,32.1,496.4,518.9,468.4
2015,40,2805,2935,3100,4800,4180,375.8,3.7,182,86.3,74.8
2015,41,2730,3308,2650,4758,4117,375.8,3.7,182,86.3,74.8
2015,42,2018,2690,1910,4042,3600,375.8,3.7,182,86.3,74.8
2015,43,1586,2636,2000,3417,3200,375.8,3.7,182,86.3,74.8
2015,44,1542,2956,2050,3658,4100,375.8,3.7,182,86.3,74.8
2015,45,1414,2400,1869,3308,4050,268,2.3,465.3,26.1,21
2015,46,1679,2223,1781,2790,4000,268,2.3,465.3,26.1,21
2015,47,1796,2132,2036,3100,3760,268,2.3,465.3,26.1,21
2015,48,1528,1753,1625,3090,2320,268,2.3,465.3,26.1,21
2015,49,1167,1501,1333,2363,2040,20.4,0.2,55.9,15.3,0.3
2015,50,1073,1251,1360,2079,1580,20.4,0.2,55.9,15.3,0.3
